Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 01/02/2023 / Data final: 01/09/2025.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Taxa média;Taxa mediana;Taxa modal;Desvio padrão;Índice de curtose;
11/03/2024;11,15;1,00041957;1.686.889.681.545,67;690;11,15;11,14;11,15;0,0298;5988,7342;
08/03/2024;11,15;1,00041957;1.663.913.152.259,6;673;11,15;11,14;11,15;0,0350;5695,3490;
07/03/2024;11,15;1,00041957;1.681.337.740.362,36;643;11,15;11,14;11,15;0,0355;5802,3360;
06/03/2024;11,15;1,00041957;1.678.488.688.928,94;676;11,15;11,14;11,15;0,0322;6351,5163;
05/03/2024;11,15;1,00041957;1.726.185.759.949,36;659;11,15;11,14;11,15;0,0297;7393,2167;
04/03/2024;11,15;1,00041957;1.707.210.174.152,79;677;11,15;11,14;11,15;0,0281;7723,5863;
01/03/2024;11,15;1,00041957;1.677.614.560.139,82;695;11,15;11,14;11,15;0,0274;7920,0816;
29/02/2024;11,15;1,00041957;1.468.808.328.596,39;776;11,15;11,14;11,15;0,0354;6177,1973;
28/02/2024;11,15;1,00041957;1.499.640.862.521,42;839;11,15;11,14;11,15;0,0358;5829,8878;
27/02/2024;11,15;1,00041957;1.530.555.568.242,4;791;11,15;11,14;11,15;0,0324;6075,3729;
26/02/2024;11,15;1,00041957;1.524.850.114.431,47;810;11,15;11,14;11,15;0,0346;5864,9323;
23/02/2024;11,15;1,00041957;1.539.199.993.067,43;799;11,15;11,14;11,15;0,0366;5657,6709;
22/02/2024;11,15;1,00041957;1.545.423.664.801,08;815;11,15;11,14;11,15;0,0341;6105,5944;
21/02/2024;11,15;1,00041957;1.547.171.447.373,15;811;11,15;11,14;11,15;0,0316;6218,2933;
20/02/2024;11,15;1,00041957;1.634.955.165.732,08;692;11,15;11,14;11,15;0,0303;6513,5970;
19/02/2024;11,15;1,00041957;1.630.886.130.019,72;670;11,15;11,14;11,15;0,0306;9497,6965;
16/02/2024;11,15;1,00041957;1.629.579.919.348,06;666;11,15;11,14;11,15;0,0462;4929,3649;
15/02/2024;11,15;1,00041957;1.634.565.313.425,61;839;11,15;11,14;11,15;0,0469;4891,7043;
14/02/2024;11,15;1,00041957;1.570.554.315.877,1;767;11,15;11,14;11,15;0,0351;7149,2563;
09/02/2024;11,15;1,00041957;1.566.096.933.696,73;662;11,15;11,14;11,15;0,0367;7191,8027;
08/02/2024;11,15;1,00041957;1.572.064.959.545,76;643;11,15;11,14;11,15;0,0341;8211,7574;
07/02/2024;11,15;1,00041957;1.544.927.992.166,23;766;11,15;11,14;11,15;0,0315;9076,9050;
06/02/2024;11,15;1,00041957;1.559.639.980.784,27;679;11,15;11,14;11,15;0,0309;9168,5454;
05/02/2024;11,15;1,00041957;1.554.763.257.720,38;806;11,15;11,14;11,15;0,0306;9174,4650;
02/02/2024;11,15;1,00041957;1.517.722.256.865,04;681;11,15;11,14;11,15;0,0306;8963,6552;
01/02/2024;11,15;1,00041957;1.503.554.314.668,98;783;11,15;11,14;11,15;0,0291;9563,5160;
31/01/2024;11,65;1,00043739;1.533.244.314.025,86;772;11,65;11,64;11,65;0,0340;8385,5128;
30/01/2024;11,65;1,00043739;1.616.815.414.279,06;686;11,65;11,64;11,65;0,0410;7079,6376;
29/01/2024;11,65;1,00043739;1.620.028.498.446,19;697;11,65;11,64;11,65;0,0362;8006,1589;
26/01/2024;11,65;1,00043739;1.585.075.745.539,65;807;11,65;11,64;11,65;0,0433;6262,9930;
25/01/2024;11,65;1,00043739;1.610.564.222.616,3;637;11,65;11,64;11,65;0,0322;9530,3596;
24/01/2024;11,65;1,00043739;1.627.692.451.285,63;639;11,65;11,64;11,65;0,0363;7868,5954;
23/01/2024;11,65;1,00043739;1.651.256.684.888,53;697;11,65;11,64;11,65;0,0375;7506,5342;
22/01/2024;11,65;1,00043739;1.647.839.495.200,18;804;11,65;11,64;11,65;0,0345;8512,6387;
19/01/2024;11,65;1,00043739;1.677.824.492.401,72;680;11,65;11,64;11,65;0,0324;9676,5614;
18/01/2024;11,65;1,00043739;1.699.629.435.994,04;661;11,65;11,64;11,65;0,0314;9983,4821;
17/01/2024;11,65;1,00043739;1.704.985.217.720,72;670;11,65;11,64;11,65;0,0299;10160,0453;
16/01/2024;11,65;1,00043739;1.720.133.873.850,79;655;11,65;11,64;11,65;0,0567;3757,5735;
15/01/2024;11,65;1,00043739;1.737.813.473.272,39;722;11,65;11,64;11,65;0,1223;148630,8644;
12/01/2024;11,65;1,00043739;1.726.077.197.988,73;717;11,65;11,64;11,65;0,0518;8331,6984;
11/01/2024;11,65;1,00043739;1.732.416.708.760,72;699;11,65;11,64;11,65;0,0321;9111,9765;
10/01/2024;11,65;1,00043739;1.728.690.168.258,27;715;11,65;11,64;11,65;0,0293;10059,6354;
09/01/2024;11,65;1,00043739;1.748.184.592.991,06;787;11,65;11,64;11,65;0,0333;8727,8506;
08/01/2024;11,65;1,00043739;1.732.374.484.331,52;710;11,65;11,64;11,65;0,0335;8688,5399;
05/01/2024;11,65;1,00043739;1.739.548.612.884,46;803;11,65;11,64;11,65;0,0320;9185,7150;
04/01/2024;11,65;1,00043739;1.766.394.535.264,87;806;11,65;11,64;11,65;0,0300;9089,2054;
03/01/2024;11,65;1,00043739;1.772.488.671.008,43;820;11,65;11,64;11,65;0,0302;8545,9279;
02/01/2024;11,65;1,00043739;1.736.505.191.312,17;805;11,65;11,64;11,65;0,0358;6705,5068;
29/12/2023;11,65;1,00043739;1.217.331.604.223,66;249;11,65;11,65;11,65;0,0353;8031,5483;
28/12/2023;11,65;1,00043739;1.266.103.079.763,9;396;11,65;11,65;11,65;0,2287;3082,0313;
27/12/2023;11,65;1,00043739;1.378.258.726.056,72;811;11,65;11,64;11,65;0,0604;3832,5338;
26/12/2023;11,65;1,00043739;1.352.771.024.814,5;824;11,65;11,64;11,65;0,0465;5039,0451;
22/12/2023;11,65;1,00043739;1.343.367.735.065,1;809;11,65;11,64;11,65;0,0389;6691,5569;
21/12/2023;11,65;1,00043739;1.334.489.809.861,13;776;11,65;11,64;11,65;0,0402;5895,0772;
20/12/2023;11,65;1,00043739;1.409.317.787.343,22;790;11,65;11,64;11,65;0,0344;7268,8806;
19/12/2023;11,65;1,00043739;1.443.533.925.799,8;799;11,65;11,64;11,65;0,0427;5942,0295;
18/12/2023;11,65;1,00043739;1.427.896.292.720,87;802;11,65;11,64;11,65;0,0653;2842,3288;
15/12/2023;11,65;1,00043739;1.393.565.784.157,56;785;11,65;11,64;11,65;0,0564;3657,4767;
14/12/2023;11,65;1,00043739;1.415.766.353.522,78;814;11,65;11,64;11,65;0,0804;1929,2323;
13/12/2023;12,15;1,00045513;1.455.882.818.286,55;828;12,15;12,14;12,15;0,0817;2052,6820;
12/12/2023;12,15;1,00045513;1.472.776.518.015,82;797;12,15;12,14;12,15;0,0321;10010,9767;
11/12/2023;12,15;1,00045513;1.467.813.313.110,15;697;12,15;12,14;12,15;0,0437;6446,7383;
08/12/2023;12,15;1,00045513;1.456.966.755.365,31;783;12,15;12,14;12,15;0,0472;5645,1938;
07/12/2023;12,15;1,00045513;1.454.055.151.519,25;779;12,15;12,14;12,15;0,0490;5306,0535;
06/12/2023;12,15;1,00045513;1.448.770.722.501,55;787;12,15;12,14;12,15;0,0434;6514,4853;
05/12/2023;12,15;1,00045513;1.503.840.515.351,27;713;12,15;12,14;12,15;0,0543;20874,0465;
04/12/2023;12,15;1,00045513;1.503.958.810.467,54;692;12,15;12,14;12,15;0,0391;7840,7527;
01/12/2023;12,15;1,00045513;1.471.767.555.780,78;825;12,15;12,14;12,15;0,0498;9577,8471;
30/11/2023;12,15;1,00045513;1.430.736.765.801,04;801;12,15;12,14;12,15;0,0450;6155,2947;
29/11/2023;12,15;1,00045513;1.452.708.803.425,3;797;12,15;12,14;12,15;0,0408;7240,7443;
28/11/2023;12,15;1,00045513;1.461.860.698.626,43;790;12,15;12,14;12,15;0,0344;9532,1418;
27/11/2023;12,15;1,00045513;1.461.569.003.060,28;684;12,15;12,14;12,15;0,0335;9765,1020;
24/11/2023;12,15;1,00045513;1.485.960.175.126,48;689;12,15;12,14;12,15;0,0396;7563,4837;
23/11/2023;12,15;1,00045513;1.487.837.983.684,82;680;12,15;12,14;12,15;0,0404;7476,9809;
22/11/2023;12,15;1,00045513;1.494.699.163.862,98;798;12,15;12,14;12,15;0,0390;7222,0072;
21/11/2023;12,15;1,00045513;1.517.936.088.575,69;810;12,15;12,14;12,15;0,0334;9212,6887;
20/11/2023;12,15;1,00045513;1.544.404.889.115,21;778;12,15;12,14;12,15;0,0269;12053,3724;
17/11/2023;12,15;1,00045513;1.545.897.171.621,12;648;12,15;12,14;12,15;0,0445;6286,5313;
16/11/2023;12,15;1,00045513;1.546.344.364.108,76;650;12,15;12,14;12,15;0,0409;7352,5837;
14/11/2023;12,15;1,00045513;1.553.603.129.906,71;732;12,15;12,14;12,15;0,0472;5501,6692;
13/11/2023;12,15;1,00045513;1.544.271.998.616,95;664;12,15;12,14;12,15;0,0431;6631,4043;
10/11/2023;12,15;1,00045513;1.532.722.143.714,32;638;12,15;12,14;12,15;0,0341;9554,3250;
09/11/2023;12,15;1,00045513;1.536.196.922.320,21;620;12,15;12,14;12,15;0,0381;8140,9371;
08/11/2023;12,15;1,00045513;1.511.100.818.348,72;643;12,15;12,14;12,15;0,0408;7116,4481;
07/11/2023;12,15;1,00045513;1.532.348.777.673,69;679;12,15;12,14;12,15;0,0341;9581,4408;
06/11/2023;12,15;1,00045513;1.523.682.030.278,03;647;12,15;12,14;12,15;0,0361;9294,5567;
03/11/2023;12,15;1,00045513;1.504.295.701.329,72;664;12,15;12,14;12,15;0,0436;3285,8115;
01/11/2023;12,65;1,00047279;1.530.105.398.886,95;635;12,65;12,64;12,65;0,0327;10856,1120;
31/10/2023;12,65;1,00047279;1.538.843.858.548,07;654;12,65;12,64;12,65;0,0387;8438,2038;
30/10/2023;12,65;1,00047279;1.562.545.813.435,63;639;12,65;12,64;12,65;0,0341;10559,0929;
27/10/2023;12,65;1,00047279;1.556.995.749.937,34;678;12,65;12,64;12,65;0,0365;9445,3410;
26/10/2023;12,65;1,00047279;1.559.371.480.775,45;643;12,65;12,64;12,65;0,0405;8083,6477;
25/10/2023;12,65;1,00047279;1.574.526.021.342,49;642;12,65;12,64;12,65;0,0389;8515,8370;
24/10/2023;12,65;1,00047279;1.583.779.365.683,83;679;12,65;12,64;12,65;0,0410;17967,4926;
23/10/2023;12,65;1,00047279;1.610.219.529.725,15;628;12,65;12,64;12,65;0,0429;7492,6850;
20/10/2023;12,65;1,00047279;1.654.833.872.445,16;644;12,65;12,64;12,65;0,0401;9896,3524;
19/10/2023;12,65;1,00047279;1.661.164.338.072,89;625;12,65;12,64;12,65;0,0431;7337,7803;
18/10/2023;12,65;1,00047279;1.658.753.990.283,68;662;12,65;12,64;12,65;0,0423;7527,5722;
17/10/2023;12,65;1,00047279;1.659.192.474.990;652;12,65;12,64;12,65;0,0509;5467,7847;
16/10/2023;12,65;1,00047279;1.657.055.182.063;653;12,65;12,64;12,65;0,0463;6404,5328;
13/10/2023;12,65;1,00047279;1.639.486.471.797,1;656;12,65;12,64;12,65;0,0450;6650,3933;
11/10/2023;12,65;1,00047279;1.659.419.134.088,47;797;12,65;12,64;12,65;0,0524;5072,5990;
10/10/2023;12,65;1,00047279;1.684.228.033.030,48;658;12,65;12,64;12,65;0,0443;6854,4297;
09/10/2023;12,65;1,00047279;1.681.542.037.055,54;637;12,65;12,64;12,65;0,0445;6988,4011;
06/10/2023;12,65;1,00047279;1.675.803.926.998,15;689;12,65;12,64;12,65;0,0478;6126,0958;
05/10/2023;12,65;1,00047279;1.685.557.818.602,26;659;12,65;12,64;12,65;0,0449;6844,6723;
04/10/2023;12,65;1,00047279;1.677.138.752.683,61;665;12,65;12,64;12,65;0,0330;11287,6488;
03/10/2023;12,65;1,00047279;1.693.724.597.050,87;662;12,65;12,64;12,65;0,0326;11129,6645;
02/10/2023;12,65;1,00047279;1.668.222.357.073,26;693;12,65;12,64;12,65;0,0315;11663,5369;
29/09/2023;12,65;1,00047279;1.540.402.721.463,98;745;12,65;12,64;12,65;0,0362;9389,6272;
28/09/2023;12,65;1,00047279;1.591.655.754.792,51;662;12,65;12,64;12,65;0,0322;11355,8876;
27/09/2023;12,65;1,00047279;1.589.249.644.239,44;637;12,65;12,64;12,65;0,0304;12293,0995;
26/09/2023;12,65;1,00047279;1.604.002.057.357,97;675;12,65;12,64;12,65;0,0358;9702,4022;
25/09/2023;12,65;1,00047279;1.626.255.705.245,51;672;12,65;12,64;12,65;0,0347;10007,3968;
22/09/2023;12,65;1,00047279;1.577.329.387.207,07;678;12,65;12,64;12,65;0,0411;7770,4240;
21/09/2023;12,65;1,00047279;1.591.291.230.810,32;662;12,65;12,64;12,65;0,0345;7758,2051;
20/09/2023;13,15;1,00049037;1.663.575.178.266,04;664;13,15;13,14;13,15;0,0339;11198,0578;
19/09/2023;13,15;1,00049037;1.677.816.166.816,88;636;13,15;13,14;13,15;0,0359;10513,8434;
18/09/2023;13,15;1,00049037;1.680.736.642.268,66;633;13,15;13,14;13,15;0,0600;4360,0999;
15/09/2023;13,15;1,00049037;1.693.064.277.592,2;619;13,15;13,14;13,15;0,0574;4533,8157;
14/09/2023;13,15;1,00049037;1.694.723.397.017,17;626;13,15;13,14;13,15;0,0543;5282,5714;
13/09/2023;13,15;1,00049037;1.699.309.658.748,77;636;13,15;13,14;13,15;0,0495;6256,0656;
12/09/2023;13,15;1,00049037;1.713.318.037.630,42;637;13,15;13,14;13,15;0,0275;14509,6874;
11/09/2023;13,15;1,00049037;1.723.090.801.184,25;654;13,15;13,14;13,15;0,0530;5446,9184;
08/09/2023;13,15;1,00049037;1.691.159.775.949,31;632;13,15;13,14;13,15;0,0360;10326,0109;
06/09/2023;13,15;1,00049037;1.704.379.572.947,15;613;13,15;13,14;13,15;0,0324;12324,8720;
05/09/2023;13,15;1,00049037;1.706.905.147.243,24;644;13,15;13,14;13,15;0,0329;10494,6509;
04/09/2023;13,15;1,00049037;1.709.257.004.238,26;651;13,15;13,14;13,15;0,0379;9062,2151;
01/09/2023;13,15;1,00049037;1.700.529.513.913,64;670;13,15;13,14;13,15;0,0393;8439,5060;
31/08/2023;13,15;1,00049037;1.331.433.206.119,48;606;13,15;13,14;13,15;0,0405;8125,8059;
30/08/2023;13,15;1,00049037;1.352.317.657.713,58;734;13,15;13,14;13,15;0,0500;5387,1284;
29/08/2023;13,15;1,00049037;1.378.227.717.142,66;624;13,15;13,14;13,15;0,0474;6181,7632;
28/08/2023;13,15;1,00049037;1.359.347.020.948,66;629;13,15;13,14;13,15;0,0488;6288,5725;
25/08/2023;13,15;1,00049037;1.366.530.770.357,75;608;13,15;13,14;13,15;0,0541;6586,6535;
24/08/2023;13,15;1,00049037;1.385.781.747.141,57;644;13,15;13,14;13,15;0,0496;7751,0923;
23/08/2023;13,15;1,00049037;1.381.357.738.461,7;594;13,15;13,14;13,15;0,0554;6442,1659;
22/08/2023;13,15;1,00049037;1.394.809.131.516,14;606;13,15;13,14;13,15;0,0323;9012,9254;
21/08/2023;13,15;1,00049037;1.395.713.574.940,18;622;13,15;13,14;13,15;0,0275;10839,8157;
18/08/2023;13,15;1,00049037;1.433.565.362.988,05;634;13,15;13,14;13,15;0,0298;10172,0308;
17/08/2023;13,15;1,00049037;1.438.169.882.221,2;606;13,15;13,14;13,15;0,0302;9707,2478;
16/08/2023;13,15;1,00049037;1.443.865.335.098,64;682;13,15;13,14;13,15;0,0391;6833,1456;
15/08/2023;13,15;1,00049037;1.451.277.800.424,68;721;13,15;13,14;13,15;0,0358;7674,3771;
14/08/2023;13,15;1,00049037;1.407.166.312.998,73;746;13,15;13,14;13,15;0,0319;8719,1893;
11/08/2023;13,15;1,00049037;1.406.955.625.318,44;727;13,15;13,14;13,15;0,0337;8449,2000;
10/08/2023;13,15;1,00049037;1.430.681.857.019,49;732;13,15;13,14;13,15;0,0262;10814,7210;
09/08/2023;13,15;1,00049037;1.430.193.082.092,72;744;13,15;13,14;13,15;0,0309;9461,1120;
08/08/2023;13,15;1,00049037;1.411.580.429.516,67;717;13,15;13,14;13,15;0,0325;8354,1564;
07/08/2023;13,15;1,00049037;1.401.887.837.858,02;742;13,15;13,14;13,15;0,0288;10257,7543;
04/08/2023;13,15;1,00049037;1.379.412.264.495,86;718;13,15;13,14;13,15;0,0351;7648,7537;
03/08/2023;13,15;1,00049037;1.390.807.678.665,12;732;13,15;13,14;13,15;0,0301;8452,8859;
02/08/2023;13,65;1,00050788;1.378.690.864.379,01;694;13,65;13,64;13,65;0,0303;12010,4248;
01/08/2023;13,65;1,00050788;1.375.197.770.610,18;735;13,65;13,64;13,65;0,0305;12293,5931;
31/07/2023;13,65;1,00050788;1.368.384.475.440,36;752;13,65;13,64;13,65;0,0368;9820,5784;
28/07/2023;13,65;1,00050788;1.383.225.490.983,15;754;13,65;13,64;13,65;0,0374;9251,6105;
27/07/2023;13,65;1,00050788;1.388.389.488.874,59;693;13,65;13,64;13,65;0,0336;10990,1878;
26/07/2023;13,65;1,00050788;1.386.026.132.509,52;730;13,65;13,64;13,65;0,0359;9887,7067;
25/07/2023;13,65;1,00050788;1.407.665.988.957,27;723;13,65;13,64;13,65;0,0447;7100,1827;
24/07/2023;13,65;1,00050788;1.407.913.965.363,56;734;13,65;13,64;13,65;0,0326;11519,2307;
21/07/2023;13,65;1,00050788;1.414.628.463.148,55;746;13,65;13,64;13,65;0,0401;8821,0980;
20/07/2023;13,65;1,00050788;1.463.817.956.530,58;751;13,65;13,64;13,65;0,0449;7167,9679;
19/07/2023;13,65;1,00050788;1.470.872.316.961,37;746;13,65;13,64;13,65;0,0436;7534,6251;
18/07/2023;13,65;1,00050788;1.477.956.768.286,98;752;13,65;13,64;13,65;0,0718;3081,9496;
17/07/2023;13,65;1,00050788;1.502.060.777.499,66;778;13,65;13,64;13,65;0,0630;3913,0302;
14/07/2023;13,65;1,00050788;1.481.288.579.295,56;770;13,65;13,64;13,65;0,0504;5900,4330;
13/07/2023;13,65;1,00050788;1.496.627.788.936,49;757;13,65;13,64;13,65;0,0320;12255,4192;
12/07/2023;13,65;1,00050788;1.515.501.590.802,84;659;13,65;13,64;13,65;0,0288;13336,0952;
11/07/2023;13,65;1,00050788;1.540.652.447.289,58;775;13,65;13,64;13,65;0,0307;12604,1595;
10/07/2023;13,65;1,00050788;1.536.383.355.830,88;683;13,65;13,64;13,65;0,0305;12850,5344;
07/07/2023;13,65;1,00050788;1.510.256.356.071,57;755;13,65;13,64;13,65;0,0345;11058,2783;
06/07/2023;13,65;1,00050788;1.516.790.760.448,94;784;13,65;13,64;13,65;0,0409;5198,4468;
05/07/2023;13,65;1,00050788;1.525.194.670.695,5;756;13,65;13,64;13,65;0,0306;12780,1692;
04/07/2023;13,65;1,00050788;1.547.084.633.126,51;748;13,65;13,64;13,65;0,0327;11685,9681;
03/07/2023;13,65;1,00050788;1.532.088.408.960,33;757;13,65;13,64;13,65;0,0311;11190,1923;
30/06/2023;13,65;1,00050788;1.209.328.957.686,52;746;13,65;13,64;13,65;0,0370;9887,3003;
29/06/2023;13,65;1,00050788;1.222.360.503.574,38;764;13,65;13,64;13,65;0,0367;7831,7333;
28/06/2023;13,65;1,00050788;1.227.901.437.228,35;842;13,65;13,64;13,65;0,0408;8250,8328;
27/06/2023;13,65;1,00050788;1.235.584.027.969,59;788;13,65;13,64;13,65;0,0402;7990,3368;
26/06/2023;13,65;1,00050788;1.241.943.815.073,15;841;13,65;13,64;13,65;0,0411;7868,9891;
23/06/2023;13,65;1,00050788;1.274.030.992.152,6;730;13,65;13,64;13,65;0,0406;8348,6183;
22/06/2023;13,65;1,00050788;1.292.189.450.814,04;721;13,65;13,64;13,65;0,0383;9551,9249;
21/06/2023;13,65;1,00050788;1.314.271.837.583,53;783;13,65;13,64;13,65;0,0439;8066,1315;
20/06/2023;13,65;1,00050788;1.369.672.608.184,45;762;13,65;13,64;13,65;0,0402;9256,4306;
19/06/2023;13,65;1,00050788;1.389.675.408.526,29;771;13,65;13,64;13,65;0,0418;8634,5813;
16/06/2023;13,65;1,00050788;1.377.147.318.205,82;733;13,65;13,64;13,65;0,0535;5733,5697;
15/06/2023;13,65;1,00050788;1.396.477.512.877,18;755;13,65;13,64;13,65;0,0452;7679,9457;
14/06/2023;13,65;1,00050788;1.398.879.834.162,38;765;13,65;13,64;13,65;0,0469;7328,4067;
13/06/2023;13,65;1,00050788;1.387.891.877.276,35;770;13,65;13,64;13,65;0,0450;7804,6965;
12/06/2023;13,65;1,00050788;1.377.513.108.929,24;760;13,65;13,64;13,65;0,0365;10770,5755;
09/06/2023;13,65;1,00050788;1.382.749.082.745,88;760;13,65;13,64;13,65;0,0492;6685,6413;
07/06/2023;13,65;1,00050788;1.394.392.752.092,76;732;13,65;13,64;13,65;0,0404;9539,0741;
06/06/2023;13,65;1,00050788;1.402.973.069.436,9;770;13,65;13,64;13,65;0,0413;9099,9217;
05/06/2023;13,65;1,00050788;1.421.664.169.487,07;755;13,65;13,64;13,65;0,0405;9176,4128;
02/06/2023;13,65;1,00050788;1.416.458.576.607,07;752;13,65;13,64;13,65;0,0347;11679,2316;
01/06/2023;13,65;1,00050788;1.401.229.607.003,6;719;13,65;13,64;13,65;0,0335;12409,5021;
31/05/2023;13,65;1,00050788;1.362.956.657.646,67;740;13,65;13,64;13,65;0,0293;13878,6734;
30/05/2023;13,65;1,00050788;1.373.983.989.868,82;746;13,65;13,64;13,65;0,0359;10853,9001;
29/05/2023;13,65;1,00050788;1.380.916.257.916,35;712;13,65;13,64;13,65;0,0334;12329,4418;
26/05/2023;13,65;1,00050788;1.382.277.685.452,21;728;13,65;13,64;13,65;0,0362;11528,2744;
25/05/2023;13,65;1,00050788;1.432.561.839.385,36;722;13,65;13,64;13,65;0,0367;11500,1471;
24/05/2023;13,65;1,00050788;1.431.386.523.243,96;729;13,65;13,64;13,65;0,0327;13406,5173;
23/05/2023;13,65;1,00050788;1.435.082.103.857,1;712;13,65;13,64;13,65;0,0348;12247,2735;
22/05/2023;13,65;1,00050788;1.444.940.604.202,14;743;13,65;13,64;13,65;0,0237;17974,2662;
19/05/2023;13,65;1,00050788;1.469.276.521.655,04;725;13,65;13,64;13,65;0,0228;18073,4047;
18/05/2023;13,65;1,00050788;1.476.288.545.041,24;723;13,65;13,64;13,65;0,0227;19661,4829;
17/05/2023;13,65;1,00050788;1.477.197.205.891,21;722;13,65;13,64;13,65;0,0216;18561,0767;
16/05/2023;13,65;1,00050788;1.474.129.132.978,22;741;13,65;13,64;13,65;0,0689;3678,2991;
15/05/2023;13,65;1,00050788;1.482.866.887.688,04;751;13,65;13,64;13,65;0,0678;3840,1637;
12/05/2023;13,65;1,00050788;1.287.683.141.704,55;777;13,65;13,64;13,65;0,0418;6727,0488;
11/05/2023;13,65;1,00050788;1.295.715.089.627,64;759;13,65;13,64;13,65;0,0258;15032,8632;
10/05/2023;13,65;1,00050788;1.317.206.804.271,05;788;13,65;13,64;13,65;0,0199;13708,8765;
09/05/2023;13,65;1,00050788;1.315.697.442.304,05;761;13,65;13,64;13,65;0,0273;15524,0717;
08/05/2023;13,65;1,00050788;1.287.637.360.202,63;771;13,65;13,64;13,65;0,0217;13282,1201;
05/05/2023;13,65;1,00050788;1.275.094.277.192,53;729;13,65;13,64;13,65;0,0200;10480,5243;
04/05/2023;13,65;1,00050788;1.316.875.475.127,74;769;13,65;13,64;13,65;0,0238;16225,7556;
03/05/2023;13,65;1,00050788;1.319.106.408.666,61;759;13,65;13,64;13,65;0,0228;16017,4229;
02/05/2023;13,65;1,00050788;1.302.799.695.569,81;770;13,65;13,64;13,65;0,0172;278,3073;
28/04/2023;13,65;1,00050788;1.257.752.115.039;857;13,65;13,64;13,65;0,0308;113,4500;
27/04/2023;13,65;1,00050788;1.329.792.977.353,61;761;13,65;13,64;13,65;0,0164;4609,4372;
26/04/2023;13,65;1,00050788;1.333.242.801.420,85;779;13,65;13,64;13,65;0,0170;5644,4445;
25/04/2023;13,65;1,00050788;1.365.348.161.265,22;751;13,65;13,64;13,65;0,0164;6427,0879;
24/04/2023;13,65;1,00050788;1.361.683.673.263,98;758;13,65;13,64;13,65;0,0198;16816,8005;
20/04/2023;13,65;1,00050788;1.412.323.326.364,06;747;13,65;13,64;13,65;0,0161;2494,0337;
19/04/2023;13,65;1,00050788;1.401.621.473.332,03;755;13,65;13,64;13,65;0,0156;2778,9431;
18/04/2023;13,65;1,00050788;1.412.967.699.040,35;735;13,65;13,64;13,65;0,1064;1706,0664;
17/04/2023;13,65;1,00050788;1.422.058.218.717,78;783;13,65;13,64;13,65;0,0983;1700,3695;
14/04/2023;13,65;1,00050788;1.419.200.391.507,29;753;13,65;13,64;13,65;0,0185;10545,1288;
13/04/2023;13,65;1,00050788;1.440.929.865.925,92;733;13,65;13,64;13,65;0,0157;1156,3376;
12/04/2023;13,65;1,00050788;1.439.775.317.582,75;748;13,65;13,64;13,65;0,0162;1038,0330;
11/04/2023;13,65;1,00050788;1.459.618.802.134,74;778;13,65;13,64;13,65;0,0165;345,5091;
10/04/2023;13,65;1,00050788;1.424.113.208.044,8;731;13,65;13,64;13,65;0,0179;707,6082;
06/04/2023;13,65;1,00050788;1.445.866.172.155,97;748;13,65;13,64;13,65;0,0174;502,3500;
05/04/2023;13,65;1,00050788;1.421.525.555.199,99;730;13,65;13,64;13,65;0,0168;322,7168;
04/04/2023;13,65;1,00050788;1.426.212.724.528,69;716;13,65;13,64;13,65;0,0619;4082,7181;
03/04/2023;13,65;1,00050788;1.388.665.355.850,59;731;13,65;13,64;13,65;0,0628;3938,0513;
31/03/2023;13,65;1,00050788;1.274.581.183.798,16;702;13,65;13,64;13,65;0,0171;423,1823;
30/03/2023;13,65;1,00050788;1.367.643.625.353,06;723;13,65;13,64;13,65;0,0160;357,0615;
29/03/2023;13,65;1,00050788;1.383.330.593.266,29;736;13,65;13,64;13,65;0,0208;15569,9747;
28/03/2023;13,65;1,00050788;1.391.617.528.346,05;726;13,65;13,64;13,65;0,0215;13568,2452;
27/03/2023;13,65;1,00050788;1.396.253.364.404,03;741;13,65;13,64;13,65;0,0210;15412,1502;
24/03/2023;13,65;1,00050788;1.411.017.962.118,71;760;13,65;13,64;13,65;0,0229;15412,7944;
23/03/2023;13,65;1,00050788;1.429.923.772.013,2;757;13,65;13,64;13,65;0,0191;11219,4699;
22/03/2023;13,65;1,00050788;1.444.806.721.064,57;746;13,65;13,64;13,65;0,0176;2699,8872;
21/03/2023;13,65;1,00050788;1.456.169.376.876,3;753;13,65;13,64;13,65;0,0175;2560,4564;
20/03/2023;13,65;1,00050788;1.513.396.032.130,39;772;13,65;13,64;13,65;0,0167;365,1127;
17/03/2023;13,65;1,00050788;1.485.193.205.933,3;763;13,65;13,64;13,65;0,0163;374,9266;
16/03/2023;13,65;1,00050788;1.507.570.951.313,12;726;13,65;13,64;13,65;0,0164;376,8369;
15/03/2023;13,65;1,00050788;1.502.001.268.117,01;735;13,65;13,64;13,65;0,0170;591,1365;
14/03/2023;13,65;1,00050788;1.521.890.273.551,38;726;13,65;13,64;13,65;0,0158;350,9380;
13/03/2023;13,65;1,00050788;1.518.315.923.151,49;625;13,65;13,64;13,65;0,0155;380,1163;
10/03/2023;13,65;1,00050788;1.510.668.645.761,5;721;13,65;13,64;13,65;0,0169;485,3060;
09/03/2023;13,65;1,00050788;1.539.133.129.728,8;765;13,65;13,64;13,65;0,0178;11603,9430;
08/03/2023;13,65;1,00050788;1.526.136.329.250,46;764;13,65;13,64;13,65;0,0157;437,3154;
